"Siglas","Ubicación ","Nombre Aeropueto",""
"BGA","Bucaramanga ","Aeropuerto Internacional Palonegro",""
"BOG","Bogotá","Aeropuerto Internacional El Dorado",""
"CTG","Cartagena","Aeropuerto Internacional Rafael Núñez",""
"MDE","Medellin","Aeropuerto Internacional José María Córdova",""
"BAQ","Barranquilla","Aeropuerto Internacional Ernesto Cortissoz",""
"PCR","Puerto Carreño","Aeropuerto Germán Olano",""
"CUC","Cúcuta","Aeropuerto Internacional Camilo Daza",""
"SMR","Santa Marta","Aeropuerto Internacional Simón Bolívar",""
"VVC","Villavicencio","Aeropuerto Vanguardia",""
"SOX","Sogamoso","Aeropuerto Alberto Lleras Camargo",""
"EYP","Yopal","Aeropuerto El Alcaraván",""
"PSO","PSO","Aeropuerto Antonio Nariño",""
